stage_name  , full_name                  , birthdate  , group_name     , country    , second_country      , birthplace
Ian         , Ro Sungchul                , 2003-12-11 , LUN8           , South Korea,                     , 
Ilhoon      , Jung Ilhoon                , 1994-10-04 , BtoB           , South Korea,                     , Seoul
Inho        , Hwang Inho                 , 1993-06-21 , IN2IT          , South Korea,                     , 
Inhong      , Lee Inhong                 , 2004-11-12 , WHIB           , South Korea,                     , 
Inpyo       , Lee Inpyo                  , 1995-08-14 , IN2IT          , South Korea,                     , 
Inseong     , Kim Inseong                , 1993-07-12 , SF9            , South Korea,                     , 
Inseong     , Jeong Inseong              , 1994-07-01 , KNK            , South Korea,                     , 
Insoo       , Kang Insoo                 , 1988-03-10 , MYNAME         , South Korea,                     , Suwon
Intak       , Hwang Intak                , 2003-08-31 , P1Harmony      , South Korea,                     , 
Isaac       , Voo Isaak                  , 1994-12-12 , IN2IT          , Malaysia   ,                     , 
Ivan        , Park Yooseong              , 2001-10-12 , Kingdom        , South Korea,                     , 
J-Hoon      , Lim Junghoon               , 1990-07-15 , B.I.G          , South Korea,                     , Seoul
J-Hope      , Jung Hoseok                , 1994-02-18 , BTS            , South Korea,                     , Gwangju
J-Min       , Jeon Minwook               , 1999-10-16 , BAE173         , South Korea,                     , 
J-Us        , Lee Seungjoon              , 1995-01-13 , ONF            , South Korea,                     , Seoul
J.seph      , Kim Taehyung               , 1992-06-21 , KARD           , South Korea, USA                 , 
J.YOU       , Kim Jaeyu                  , 2000-11-02 , TOO            , South Korea,                     , 
Jackson     , Jackson Wang               , 1994-03-28 , GOT7           , Hong Kong  ,                     , Hong Kong
Jacob       , Bae Joonyoung              , 1997-05-30 , The Boyz       , South Korea, Canada              , Toronto
Jacob       , Zhang Peng                 , 1996-09-07 , VAV            , China      ,                     , 
Jae         , Park Jaehyung              , 1992-09-15 , DAY6           , South Korea, "Argentina,USA"     , Buenos Aires
Jaebin      , Deung Bin                  , 1997-02-13 , VARSITY        , China      ,                     , Hunan
Jaechan     , Park Jaechan               , 2001-12-06 , Dongkiz        , South Korea,                     , 
Jaeha       , Lee Jaehyun                , 2004-07-01 , WHIB           , South Korea,                     , Seoul
Jaehan      , Kim Jaehan                 , 1995-07-01 , OMEGA X        , South Korea,                     , 
Jaeho       , Kim Jaeho                  , 1992-09-17 , HISTORY        , South Korea,                     , 
Jaehwan     , Kim Jaehwan                , 1996-05-27 , Wanna One      , South Korea,                     , Seoul
Jaehyo      , Ahn Jaehyo                 , 1990-12-23 , Block B        , South Korea,                     , Busan
Jaehyuk     , Yoon Jaehyuk               , 2001-07-23 , Treasure       , South Korea,                     , 
Jaehyun     , Jung Yoonoh                , 1997-02-14 , NCT            , South Korea,                     , Seoul
Jaehyun     , Kim Jaehyun                , 1994-07-15 , N.Flying       , South Korea,                     , Seoul
Jaehyun     , Bong Jaehyun               , 1999-01-04 , Golden Child   , South Korea,                     , 
Jaehyun     , Myung Jaehyun              , 2003-12-04 , BOYNEXTDOOR    , South Korea,                     , 
Jaejin      , Lee Jaejin                 , 1991-12-17 , FTISLAND       , South Korea,                     , Cheongju
Jaejoong    , Kim Jaejoong               , 1986-01-26 , JYJ            , South Korea,                     , Gongju
Jaemin      , Na Jaemin                  , 2000-08-13 , NCT            , South Korea,                     , 
Jaemin      , Shin Jaemin                , 1996-06-08 , XEED           , South Korea,                     , 
Jaeseok     , Park Jaeseok               , 1995-11-20 ,                , South Korea,                     , 
Jaeun       , Ha Jaeun                   , 1999-09-28 , ARGON          , South Korea,                     , 
Jaewon      , Shin Jaewon                , 2004-03-02 ,                , South Korea,                     , 
Jaeyoon     , Lee Jaeyoon                , 1994-08-09 , SF9            , South Korea,                     , 
Jaeyun      , Lee Jaeyun                 , 2000-08-16 , TOO            , South Korea,                     , 
Jaeyun      , Moon Jaeyun                , 2002-07-02 , 8TURN          , New Zealand, South Korea         , 
Jahan       , Im Jihun                   , 2002-08-01 , Kingdom        , South Korea,                     , 
Jake        , Shim Jaeyoon               , 2002-11-15 , ENHYPEN        , South Korea, Australia           , 
Jangjun     , Lee Jangjun                , 1997-03-03 , Golden Child   , South Korea,                     , 
Jay         , Kim Jinhwan                , 1994-02-07 , iKON           , South Korea,                     , Jeju
Jay         , Park Jongsung              , 2002-04-20 , ENHYPEN        , South Korea, United States       , 
Jay Chang   , Jay Steven Kapossy         , 2001-03-08 , ONE PACT       , USA        ,                     , 
Jayder      , Kim Junbmin                , 2002-12-31 , WHIB           , South Korea,                     , Yangsan
JB          , Im Jaebum                  , 1994-01-06 , GOT7           , South Korea,                     , Goyang
Jeff        , Lee Jaeho                  , 2005-04-21 , EPEX           , South Korea,                     , 
Jehyun      , Moon Jehyun                , 1999-04-20 , OMEGA X        , South Korea,                     , 
Jen         , Kim Yehyeon                , 1997-03-27 , UNVS           , South Korea,                     , 
Jenissi     , Kim Taeyang                , 1991-08-02 ,                , South Korea,                     , Seoul
Jeno        , Lee Jeno                   , 2000-04-23 , NCT            , South Korea,                     , 
Jeon Woong  , Jeon Woong                 , 1997-10-15 , AB6IX          , South Korea,                     , 
Jeongeun    , Park Jeongeun              , 2003-04-17 , HAWW           , South Korea,                     , Jinju
Jeonggyu    , Lim Jeonggyu               , 1997-11-05 , 7 O'clock      , South Korea,                     , 
Jeonghan    , Yoon Jeonghan              , 1995-10-04 , Seventeen      , South Korea,                     , Seoul
Jeonghyeon  , Lee Jeonghyeon             , 2002-09-11 , EVNNE          , South Korea,                     , 
Jeongkyun   , Jeong Jeongkyun            , 1987-11-27 , WE:A           , South Korea,                     , 
Jeongmin    , Lee Jeongmin               , 1994-02-01 , Boyfriend      , South Korea,                     , Suwon
Jeongmin    , Woo Jeongmin               , 2002-05-31 , WEUS           , South Korea,                     , 
Jeongseung  , Park Jeongseung            , 2002-05-20 , D-CRUNCH       , South Korea,                     , 
Jeonguk     , Kim Jeonguk                , 1993-03-20 , 24K            , South Korea,                     , Busan
Jeongwoo    , Park Jeongwoo              , 2004-09-28 , Treasure       , South Korea,                     , 
Jeongyoon   , Woo Jeongyoon              , 2003-04-11 , WEUS           , South Korea,                     , 
Jewon       , Woo Jewon                  , 1998-11-28 , NINE.i         , South Korea,                     , 
Ji Eunho    , Lee Sangmin                , 2005-05-21 , LUN8           , South Korea,                     , 
Ji Hansol   , Ji Hansol                  , 1994-11-21 , Newkidd        , South Korea,                     , Busan
Jiahn       , Yoo Jiahn                  , 1992-04-01 , IN2IT          , South Korea,                     , 
Jibeom      , Kim Jibeom                 , 1999-02-03 , Golden Child   , South Korea,                     , 
Jiho        , Jang Jiho                  , 2004-08-10 , NINE.i         , South Korea,                     , Gyeonggi
Jiho        , Choi Jiho                  , 2004-06-10 , AMPERS&ONE     , South Korea,                     , 
Jihoo       , Lim Soojung                , 1998-08-05 , IZ             , South Korea,                     , 
Jihoo       , Park Jihoo                 , 2006-07-14 , EVNNE          , South Korea,                     , Dasan
Jihoon      , Park Jihoon                , 1999-05-29 , Wanna One      , South Korea,                     , Masan
Jihoon      , Park Jihoon                , 2000-03-14 , Treasure       , South Korea,                     , Busan
Jihoon      , Han Jihoon                 , 2006-03-28 , TWS            , South Korea,                     , 
Jihun       , Kim Jihun                  , 2000-01-09 , BXB            , South Korea,                     , Daegu
Jihun       , Kim Jihun                  , 1995-02-20 , KNK            , South Korea,                     , 
Jimin       , Park Jimin                 , 1995-10-13 , BTS            , South Korea,                     , Busan
Jimin       , Kim Jimin                  , 2002-05-01 , HAWW           , South Korea,                     , Incheon
Jin         , Kim Seokjin                , 1992-12-04 , BTS            , South Korea,                     , Gwacheon
Jin Jin     , Park Jinwoo                , 1996-03-15 , ASTRO          , South Korea,                     , Nowon
Jinbeom     , Park Jinbeom               , 2002-04-22 , WHIB           , South Korea,                     , Mokpo
Jingyu      , Lee Jingyu                 , 1998-04-22 , Astin          , South Korea,                     , 
Jinho       , Jo Jinho                   , 1992-04-17 , PENTAGON       , South Korea,                     , 
Jinhong     , Kim Jinhong                , 1998-01-02 , 24K            , South Korea,                     , Seoul
Jinhoo      , Kim Jinwook                , 1995-08-02 ,                , South Korea,                     , Changwon
Jinhwa      , Choi Jinhwa                , 2002-01-15 , BLITZERS       , South Korea,                     , 
Jinkwon     , Kim Jinkwon                , 2001-01-31 , Newkidd        , South Korea,                     , 
Jinsik      , Han Jinsik                 , 2004-07-30 , xikers         , South Korea,                     , Incheon
Jinsu       , Park Jinsu                 , 2003-02-05 , LUN8           , South Korea,                     , 
Jinsung     , Jung Jinsung               , 2002-03-30 , 1the9          , South Korea,                     , Seoul
Jinu        , Kim Jinwoo                 , 1991-09-26 , WINNER         , South Korea,                     , Imja
Jinwoo      , Lee Jinwoo                 , 2004-09-13 , Ghost9         , South Korea,                     , 
Jinyoung    , Jung Jinyoung              , 1991-11-18 ,                , South Korea,                     , Chungju
Jinyoung    , Park Jinyoung              , 1994-09-22 , GOT7           , South Korea,                     , Changwon
Jinyoung    , Bae Jinyoung               , 2000-05-10 , CIX            , South Korea,                     , Seoul
Jinyoung    , Woo Jinyoung               , 1997-05-31 , D1CE           , South Korea,                     , 
Jisan       , Choi Jinsang               , 1999-11-03 , Hot Blood Youth, South Korea,                     , 
Jisu        , Choi Jisu                  , 2000-01-19 , TOO            , South Korea,                     , 
Jisung      , Park Jisung                , 2002-02-05 , NCT            , South Korea,                     , 
Jisung      , Yoon Jisung                , 1991-03-08 , Wanna One      , South Korea,                     , Wonju
Jisung      , Kim Jisung                 , 2000-12-21 , TRCNG          , South Korea,                     , 
Jiung       , Choi Jiwoong               , 2001-10-07 , P1Harmony      , South Korea,                     , 
Jiwoong     , Kim Jiwoong                , 1998-12-14 , ZEROBASEONE    , South Korea,                     , Wonju
JJ          , Jun Jihyeok                , 1998-12-11 , DUSTIN         , South Korea,                     , 
JM          , Chu Jimin                  , 2001-10-11 , JUST B         , South Korea,                     , 
Jo          ,                            , 2008-02-04 , DXMON          , South Korea,                     , 
Johnny      , John Seo                   , 1995-02-09 , NCT            , USA        ,                     , Chicago
Jongho      , Choi Jongho                , 2000-10-12 , ATEEZ          , South Korea,                     , 
Jonghoon    , Choi Jonghoon              , 1990-03-07 , FTISLAND       , South Korea,                     , Seoul
Jonghwan    , Jo Jonghwan                , 1992-11-23 , FAVE1          , South Korea,                     , Seoul
Jonghyeong  , Kim Jonghyeong             , 2002-04-13 , Dongkiz        , South Korea,                     , 
Jonghyun    , Lee Jonghyun               , 1990-05-15 , CNBLUE         , South Korea,                     , Busan
Jonghyun†   , Kim Jonghyun               , 1990-04-08 ,                , South Korea,                     , Seoul
Jongseob    , Kim Jongseob               , 2005-11-19 , P1Harmony      , South Korea,                     , 
Jongup      , Moon Jongup                , 1995-02-06 , B.A.P          , South Korea,                     , Seoul
Jongwoo     , Yoon Jongwoo               , 2000-06-12 , ONE PACT       , South Korea,                     , Seoul
Jooan       , Im Jimyoung                , 1996-10-04 , We In The Zone , South Korea,                     , Dongtan
Joochan     , Hong Joochan               , 1999-07-31 , Golden Child   , South Korea,                     , 
Jooheon     , Lee Jooheon                , 1994-10-06 , MONSTA X       , South Korea,                     , Daegu
Joohyoung   , Kim Joohyoung              , 2003-03-15 , NINE.i         , South Korea,                     , 
Jooyeon     , Lee Jooyeon                , 2002-09-12 , Xdinary Heroes , South Korea,                     , Ansan
Joshua      , Hong Jisoo                 , 1995-12-30 , Seventeen      , USA        , South Korea         , Los Angeles
JR          , Kim Jonghyun               , 1995-06-08 , NU'EST         , South Korea,                     , Gangwon
Ju-ne       , Koo Junhoe                 , 1997-03-31 , iKON           , South Korea,                     , Seoul
Juhaknyeon  , Ju Haknyeon                , 1999-03-09 , The Boyz       , South Korea,                     , Jeju
Juhan       , Hong Seunghyun             , 2001-06-21 , BLITZERS       , South Korea,                     , 
Juho        , Yang Zuho                  , 2004-03-04 , HAWW           , South Korea,                     , Seoul
Jukang      , Lee Hyowon                 , 2002-11-22 , JWiiver        , South Korea,                     , Daegu
Jun         , Weng Junhui                , 1996-06-10 , Seventeen      , China      ,                     , Shenzen
Jun         , Lee Junyoung               , 1997-01-22 , U-KISS         , South Korea,                     , 
Jun         , Park Junhee                , 1994-06-02 , A.C.E          , South Korea,                     , Jeolla
Jun H.      , Im Joonhyun                , 1991-08-28 , UNVS           , South Korea,                     , 
Jun Han     , Han Hyeongjun              , 2002-08-18 , Xdinary Heroes , South Korea,                     , Gimhae
Jun Jin     , Park Choongjae             , 1980-08-19 , Shinhwa        , South Korea,                     , Seoul
Jun. K      , Kim Minjun                 , 1988-01-15 , 2:00 PM        , South Korea,                     , Daegu
June        , Lee Junyoung               , 2003-06-16 , BXB            , South Korea,                     , Busan
Jungbin     , Lim Jungbin                , 2003-07-22 , POW            , South Korea,                     , 
Junghoon    , Lee Junghoon               , 2000-07-04 , 1TEAM          , South Korea,                     , 
Junghoon    , Han Jeonghoon              , 2000-02-14 , OMEGA X        , South Korea,                     , 
Junghoon    , Kim Junghoon               , 2005-07-05 , xikers         , South Korea,                     , 
Junghun     , Jang Junghun               , 1999-02-27 , Astin          , South Korea,                     , 
Junghwan    , So Junghwan                , 2005-02-18 , Treasure       , South Korea,                     , 
Junghyun    , Mun Junghyun               , 2005-03-31 , EVNNE          , South Korea,                     , Seoul
Jungkook    , Jeon Jungkook              , 1997-09-01 , BTS            , South Korea,                     , Busan
Jungmo      , Koo Jungmo                 , 2000-02-05 , CRAVITY        , South Korea,                     , 
Jungshin    , Lee Jungshin               , 1991-09-15 , CNBLUE         , South Korea,                     , 
Jungsu      , Kim Jungsu                 , 2001-06-26 , Xdinary Heroes , South Korea,                     , Ilsan
Jungwon     , Yang Jungwon               , 2004-02-09 , ENHYPEN        , South Korea,                     , 
Jungwoo     , Kim Jungwoo                , 1998-02-19 , NCT            , South Korea,                     , 
Junho       , Lee Junho                  , 1990-01-25 , 2:00 PM        , South Korea,                     , Ilsan
Junho       , Cha Junho                  , 2002-07-09 , DRIPPIN        , South Korea,                     , 
Junhyeok    , Kim Junhyeok               , 1993-07-17 ,                , South Korea,                     , 
Junhyeok    , Cheon Junhyeok             , 2004-09-20 , TNX            , South Korea,                     , Gyeonggi
Junhyoung   , Oh Junhyoung               , 2001-04-14 , CMDM           , South Korea,                     , 
Junhyuk     , Choi Junhyuk               , 1992-04-21 , HOTSHOT        , South Korea,                     , Ulsan
Junhyuk     , Lee Junhyuk                , 2000-05-16 , Mirae          , South Korea,                     , Seoul
Junhyung    , Yong Junyung               , 1989-12-19 , Highlight      , South Korea,                     , Seoul
Junhyung    , Son Junhyung               , 2000-10-21 , Ghost9         , South Korea,                     , 
Junji       , Kim Junhyung               , 1998-04-06 , OnlyOneOf      , South Korea,                     , 
Junkyu      , Kim Junkyu                 , 2000-09-09 , Treasure       , South Korea,                     , 
Junmin      , Ryu Junmin                 , 2003-04-05 , ATBO           , South Korea,                     , Jinju
Junmin      , Park Junmin                , 2003-05-24 , xikers         , South Korea,                     , Seoul
JunQ        , Kang Junkyu                , 1993-08-09 , MYNAME         , South Korea,                     , Uljeongbu
Junseo      , Kim Junseo                 , 2001-11-20 , WEi            , South Korea,                     , Ulsan
Junseo      , Hwang Junseo               , 2001-01-16 , DKB            , South Korea,                     , 
Junseo      , Park Junseo                , 2001-12-28 , BAE173         , South Korea,                     , 
Junseok     , Oh Junseok                 , 2003-03-03 , ATBO           , South Korea,                     , Jeju
Junseong    , Choi Junseong              , 2002-09-29 , Ghost9         , South Korea,                     , 
Juntae      , Kim Juntae                 , 1995-09-04 , MY.st          , South Korea,                     , 
Junwoo      , Sim Junwoo                 , 2003-09-21 , LUN8           , South Korea,                     , 
Junwook     , Kim Junwook                , 2002-01-10 , TheEastLight   , South Korea,                     , 
Junyoung    , Lee Junyoung               , 2000-09-23 , IZ             , South Korea,                     , 
Juyeon      , Lee Juyeon                 , 1998-01-16 , The Boyz       , South Korea,                     , 
K-Soul      , Liu Zekai                  , 2000-10-19 , FANTASY BOYS   , China      ,                     , 
Kaedan      , Kaedan Keonwoo Nam         , 2009-03-24 , FANTASY BOYS   , South Korea,                     , 
Kai         , Kim Jongin                 , 1994-01-14 , EXO            , South Korea,                     , Suncheon
Kain        , Bang Junho                 , 1997-03-25 , ARGON          , South Korea,                     , 
Kairi       , Imai Kairi                 , 2003-02-24 , T1419          , Japan      ,                     , 
Kamden      , Kamden Winston Na          , 2001-06-09 , AMPERS&ONE     , USA        , South Korea         , Seattle
Kanghyun    , Kang Hyungu                , 1998-11-24 , Onewe          , South Korea,                     , 
Kangin      , Kim Youngwoon              , 1985-01-17 ,                , South Korea,                     , Seoul
Kangmin     , Noh Kangmin                , 1999-09-05 , Romeo          , South Korea,                     , 
Kangmin     , Yoo Kangmin                , 2003-01-25 , Verivery       , South Korea,                     , 
Kangsung    , Lee Kangsung               , 2002-08-08 , Ghost9         , South Korea,                     , 
KB          , Shin Kyubin                , 1994-04-23 , OnlyOneOf      , South Korea,                     , 
Keeho       , Yoon Kiho                  , 2001-09-27 , P1Harmony      , Canada     ,                     , 
Keita       , Terazono Keita             , 2001-07-04 , Ciipher        , Japan      ,                     , 
Ken         , Lee Jaehwan                , 1992-04-06 , VIXX           , South Korea,                     , Seoul
Kenta       , Takada Kenta               , 1995-01-10 , JBJ            , Japan      ,                     , Fujioka
Keon        , Kim Keon                   , 2001-02-16 , WEUS           , South Korea,                     , 
Keonhee     , Lee Keonhee                , 1998-06-27 , Oneus          , South Korea,                     , 
Keonwoo     , Kim Keonwoo                , 1996-12-17 , MY.st          , South Korea,                     , 
Keum        , Keum Donghyun              , 2003-05-14 , EPEX           , South Korea,                     , Okcheon
Kevin       , Christopher Woo            , 1991-11-25 , U-KISS         , USA        , South Korea         , Los Angeles
Kevin       , Kevin Jiyeop Kim           , 1988-02-23 , ZE:A           , South Korea, Australia           , Sydney
Kevin       , Moon Hyungseo              , 1998-02-23 , The Boyz       , Canada     , South Korea         , 
Kevin       , Park Jinwoo                , 2000-01-12 , OMEGA X        , South Korea,                     , 
Kevin       , Baek Seungbin              , 2001-04-08 , T1419          , South Korea,                     , 
Key         , Kim Kibum                  , 1991-09-23 , SHINee         , South Korea,                     , Daegu
Khael       , Lee Sangmin                , 2002-01-18 , Mirae          , South Korea,                     , 
Kibum       , Kim Kibum                  , 1987-08-21 ,                , South Korea,                     , Seoul
Kichun      , Hwang Kichun               , 1992-03-14 , WE:A           , South Korea,                     , 
Kid         , Kim Junhoe                 , 1995-10-26 , VARSITY        , South Korea,                     , 
Kidoh       , Jin Hyosang                , 1992-12-16 ,                , South Korea,                     , Seoul
Kihyun      , Yoo Kihyun                 , 1993-11-22 , MONSTA X       , South Korea,                     , Goyang
Kim Sanggyun, Kim Sanggyun               , 1995-05-23 , JBJ95          , South Korea,                     , Gwangju
Kim Yoon    , Kim Seongsu                , 1994-02-17 , DUSTIN         , South Korea,                     , 
Kino        , Kang Hyungku               , 1998-01-27 , PENTAGON       , South Korea,                     , 
Kio         , Udo Musashi                , 2004-11-28 , T1419          , South Korea,                     , 
Kiseop      , Lee Kiseop                 , 1991-01-17 , U-KISS         , South Korea,                     , Seongnam
Kisu        , Choi Kisu                  , 1990-10-02 , 24K            , South Korea,                     , Seoul
Kiwon       , Lee Kiwon                  , 1996-06-27 , GIDONGDAE      , South Korea,                     , 
Kongyeol    , Go Minsoo                  , 1996-05-19 , UP10TION       , South Korea,                     , Bucheon
Kookheon    , Kim Kookheon               , 1997-04-15 , B.O.Y          , South Korea,                     , 
Kris        , Wu Yifan                   , 1990-11-06 ,                , Canada     , China               , Guangzhou
Kuhn        , Noh Sooil                  , 1995-11-11 , UP10TION       , South Korea,                     , Ansan
Kun         , Qian Kun                   , 1996-01-01 , NCT            , China      ,                     , 
Kwanghee    , Hwang Kwanghee             , 1988-08-25 , ZE:A           , South Korea,                     , Paju
Kwangjin    , Kwon Kwangjin              , 1992-08-12 , N.Flying       , South Korea,                     , Seoul
Kwangmin    , Jo Kwangmin                , 1995-04-24 , Boyfriend      , South Korea,                     , Anyang
Kyeongheon  , Yoon Kyeongheon            , 1998-01-06 , We In The Zone , South Korea,                     , Suncheon
Kyle        , Ma Jaekyung                , 1997-01-15 , Romeo          , South Korea,                     , 
Kyrell      , Kyrell Choi                , 2005-07-03 , AMPERS&ONE     , USA        , South Korea         , Seattle
Kyuhwan     , Lee Kyuhwan                , 1994-09-18 , SIGNAL         , South Korea,                     , 
Kyuhyuk     , Shim Kyuhyuk               , 1995-01-11 , Hot Blood Youth, South Korea,                     , 
Kyuhyun     , Cho Kyuhyun                , 1988-02-03 , Super Junior   , South Korea,                     , Seoul
Kyungho     , Jang Kyungho               , 2001-05-07 , TOO            , South Korea,                     , 
Kyungil     , Song Kyungil               , 1987-11-28 , HISTORY        , South Korea,                     , 
Kyungjun    , Woo Kyungjun               , 2002-08-30 , TNX            , South Korea,                     , Seoul
Kyungmin    , Jo Kyungmin                , 2004-10-28 , 8TURN          , South Korea,                     , Gyeonggi
Kyungmin    , Lee Kyungmin               , 2007-10-02 , TWS            , South Korea,                     , 
Kyungmun    , Lim Kyungmun               , 2003-06-29 , YOUNITE        , South Korea,                     , 
Kyungyoon   , Lee Kyungyoon              , 2000-02-21 , Dongkiz        , South Korea,                     , 
L           , Kim Myungsoo               , 1992-03-13 , Infinite       , South Korea,                     , Seoul
L.Joe       , Lee Byunghun               , 1993-11-23 ,                , South Korea,                     , Gunsan
Lai Kuanlin , Lai Kuanlin                , 2001-09-23 , Wanna One      , Taiwan     ,                     , New Taipei
Laon        , Shin Kyuhyun               , 1995-12-19 , ENOi           , South Korea,                     , 
Laun        , Kim Minseok                , 1999-08-12 ,                , South Korea,                     , Seongsan
Lay         , Zhang Yixing               , 1991-10-07 , EXO            , China      ,                     , Changsa
Lee Hoo     , Moon Junyoung              , 1989-02-09 , ZE:A           , South Korea,                     , Seoul
Lee Hyeop   , Lee Hyeop                  , 1999-08-13 , DRIPPIN        , South Korea,                     , 
Lee Joon    , Lee Changseon              , 1988-02-07 ,                , South Korea,                     , Seoul
Lee Know    , Lee Minho                  , 1998-10-25 , Stray Kids     , South Korea,                     , Gimpo
Leedo       , Kim Geonhak                , 1997-07-26 , Oneus          , South Korea,                     , 
Leehan      , Kim Donghyun               , 2004-10-20 , BOYNEXTDOOR    , South Korea,                     , 
Leejeong    , Jeon Leejeong              , 2003-09-08 , WHIB           , South Korea,                     , 
Leeteuk     , Park Jeongsu               , 1983-07-01 , Super Junior   , South Korea,                     , Seoul
Leo         , Jung Taekwon               , 1990-11-10 , VIXX           , South Korea,                     , Seoul
Leo         , Hayase Leo                 , 2002-10-08 , T1419          , Japan      ,                     , 
Leo         ,                            , 2002-06-15 , XODIAC         , Hong Kong  ,                     , Hong Kong
Leon        , Kim Donghyun               , 2000-07-25 , TRENDZ         , South Korea,                     , 
Lew         , Lee Euiwoong               , 2001-04-05 , TEMPEST        , South Korea,                     , 
Lex         , Jeon Hyungmin              , 1993-01-12 , Bigflo         , South Korea,                     , 
Lex         , Zo Doohyun                 , 2000-03-16 , XODIAC         , South Korea,                     , Gyeongsangbuk
Lien        , Shimada Sho                , 1998-03-11 , Mirae          , Japan      ,                     , Osaka
Lim Jimin   , Lim Jimin                  , 2001-05-22 , JUST B         , South Korea,                     , 
Ling Qi     , Ling Qi                    , 2002-06-04 , FANTASY BOYS   , China      ,                     , 
Longguo     , Jin Longguo                , 1996-03-02 , JBJ            , China      ,                     , Heilong
Lou         , Kim Hosung                 , 1996-12-21 , VAV            , South Korea,                     , 
Loudi       , Won Jihoon                 , 1996-04-13 , 14U            , Indonesia  , "South Korea, China", 
Louii       , Park Seonghoon             , 2004-03-06 , HAWW           , South Korea,                     , Gwangju
Louis       , Kim Taewoo                 , 1999-04-23 , BLANK2Y        , South Korea,                     , 
Louis       , Yang Dongsik               , 2001-04-08 , Kingdom        , South Korea,                     , 
Love        , Park Jisung                , 1994-01-17 ,                , South Korea,                     , 
Lucas       , Wong Junghei               , 1999-01-25 ,                , Hong Kong  ,                     , 
Luha        , Lee Gyeonghun              , 1993-02-15 , 14U            , South Korea,                     , 
Luhan       , Lu Han                     , 1990-04-20 ,                , China      ,                     , Haidian
Lune        , Jung Sungmin               , 2000-02-27 , DKB            , South Korea,                     , 
Lutan       , Choi Gyeongseok            , 2003-12-06 , BLITZERS       , South Korea,                     , 
Mackiyah    , Mackiah Yejun Mercer       , 2006-01-21 , AMPERS&ONE     , Australia  , South Korea         , Sydney
Manny       , Syo Dongchun               , 2001-11-17 , VARSITY        , China      ,                     , 
Marco       , Lee Hyunggeun              , 1994-05-11 , Hot Blood Youth, South Korea,                     , 
Mark        , Mark Lee                   , 1999-08-02 , NCT            , Canada     ,                     , Vancouver
Mark        , Mark Yien Tuan             , 1993-09-04 , GOT7           , USA        , Taiwan              , Los Angeles
Mashiho     , Takata Mashiho             , 2001-03-25 , Treasure       , Japan      ,                     , 
Matthew     , Seok Matthew               , 2002-05-28 , ZEROBASEONE    , Canada     , South Korea         , Vancouver
Max Changmin, Shim Changmin              , 1988-02-18 , TVXQ           , South Korea,                     , Seoul
Mikey       , Morisaki Daisuke           , 2001-05-05 , BLANK2Y        , Japan      ,                     , Hyogo
Mill        , Lee Yongsoo                , 1999-03-30 , OnlyOneOf      , South Korea,                     , 
Milo        , Kim Minhak                 , 1996-08-20 , Romeo          , South Korea,                     , 
Min         , Lee Mincheon               , 1997-10-16 , We In The Zone , South Korea,                     , Seoul
Minchan     , Hong Minchan               , 1998-09-16 , Verivery       , South Korea,                     , 
Mingi       , Son Mingi                  , 1999-08-09 , ATEEZ          , South Korea,                     , 
Mingyu      , Kim Mingyu                 , 1997-04-06 , Seventeen      , South Korea,                     , Anyang
Minhee      , Kang Minhee                , 2002-09-17 , CRAVITY        , South Korea,                     , 
Minho       , Choi Minho                 , 1991-12-09 , SHINee         , South Korea,                     , Incheon
Minho       , Lee Minho                  , 1995-09-04 , MY.st          , South Korea,                     , 
Minho       , Yang Minho                 , 2002-10-14 , 8TURN          , South Korea,                     , 
Minhwan     , Choi Minhwan               , 1992-11-11 , FTISLAND       , South Korea,                     , Seoul
Minhyuk     , Lee Minhyuk                , 1990-11-29 , BtoB           , South Korea,                     , Seoul
Minhyuk     , Lee Minhyuk                , 1993-11-03 , MONSTA X       , South Korea,                     , 
Minhyuk     , Kang Minhyuk               , 1991-06-28 , CNBLUE         , South Korea,                     , Ilsan
Minhyuk     , Kim Minhyuk                , 1999-11-06 , D-CRUNCH       , South Korea,                     , 
Minhyuk     , Yoon Minhyuk               , 2001-07-11 , WEUS           , South Korea,                     , 
Minhyun     , Hwang Minhyun              , 1995-08-09 , NU'EST         , South Korea,                     , Busan
Minjae      , Jo Minjae                  , 1994-08-08 , Spectrum       , South Korea,                     , 
Minjae      , Song Minjae                , 2003-08-23 , MCND           , South Korea,                     , 
Minjae      , Kim Minjae                 , 2003-04-10 , xikers         , South Korea,                     , Seoul
Minjae      , Baek Minjae                , 2003-07-09 , DXMON          , South Korea,                     , 
Minjun      , Kim Minjun                 , 1999-02-26 , NINE.i         , South Korea,                     , 
Mino        , Song Minho                 , 1993-03-30 , WINNER         , South Korea,                     , Yongin
Minpyo      , Gook Minpyo                , 1994-11-15 , B.I.G          , South Korea,                     , Gwangju
Minseo      , Kim Minseo                 , 2002-05-13 , DRIPPIN        , South Korea,                     , 
Minseo      , Kang Minseo                , 2001-07-22 , FANTASY BOYS   , South Korea,                     , 
Minsu       , Park Minsu                 , 1993-04-15 , Boys Republic  , South Korea,                     , Gwangju
Minsu       , Kim Minsu                  , 2000-03-20 , TOO            , South Korea,                     , 
Minsung     , Kim Minhwi                 , 1996-12-24 , Romeo          , South Korea,                     , 
Minwoo      , No Minwoo                  , 1995-07-31 , Boyfriend      , South Korea,                     , Anyang
