Stage Name,Full Name,Date of Birth,Group,Country
Juri,Takahashi Juri,1997-10-03,Rocket Punch,Japan
Juyeon,Lee Juyeon,2001-11-06,Saturday,South Korea
K.Me,Na Miri,1992-04-10,BADKIZ,South Korea
Kady,Gu Dokyoung,1995-04-07,Gate9,South Korea
Kaede,Yamada Kaede,2005-12-20,tripleS,Japan
Kaeun,Lee Kaeun,1994-08-20,After School,South Korea
Kahi,Park Jiyoung,1980-12-25,,South Korea
Karin,Min Karin,2002-01-05,ALICE,South Korea
Karin,Baek Yerin,2000-04-23,CRAXY,South Korea
Karina,Yoo Jimin,2000-04-11,aespa,South Korea
Kazuha,Nakamura Kazuha,2003-08-09,LE SSERAFIM,Japan
Keena,Song Jakyung,2002-07-09,FIFTY FIFTY,South Korea
Kei,Kim Jiyeon,1995-03-20,Lovelyz,South Korea
Keina,Lee Yoona,1999-02-12,H.U.B,South Korea
Kelly,Lin Kelly,2002-01-16,TRI.BE,Taiwan
Kelly,Ha Seoyeon,2006-06-16,BADVILLAIN,South Korea
Keumjo,Lee Keumjo,1992-12-17,9Muses,South Korea
Kiara,Baek Jinjoo,1998-08-20,,South Korea
Kim Lip,Kim Jungeun,1999-02-10,ARTMS,South Korea
Kokoro,Kato Kokoro,2000-11-01,,Japan
Kongyoo,Kong Yoojin,2001-05-11,Bonus Baby,South Korea
Kotoko,Fujiyosi Kotoko,2007-10-28,UNIS,Japan
Kotone,Kamimoto Kotone,2004-03-10,tripleS,Japan
Kriesha Chu,Kriesha Ziskind Teo Tiu,1998-12-20,,Philippines
Krystal,Krystal Jung,1994-10-24,f(x),South Korea
Kyla,Kyla Massie,2001-12-26,Pristin,USA
Kyrin,Park Geumju,2000-02-23,Girls' World,South Korea
Kyujin,Jang Kyujin,2006-05-26,NMIXX,South Korea
Kyulkyung,Zhou Jieqiong,1998-12-16,Pristin,China
Kyungri,Park Kyungri,1990-07-05,9Muses,South Korea
Lara,Moon Shinae,2000-08-09,Dreamnote,South Korea
Layeon,Lee Jimin,1998-08-13,Purplebeck,South Korea
LE,Ahn Hyejin,1991-12-10,EXID,South Korea
Lea,Ogawa Mizuki,1995-08-12,SECRET NUMBER,Japan
Lee Haein,Lee Haein,1992-07-04,I.B.I,South Korea
Lee Jin,Shim Yerin,2001-03-12,Hi-L,South Korea
Lee Soo,Jin Isoo,2001-06-27,PRECIOUS,South Korea
Lee Suhyun,Lee Suhyun,1996-11-05,I.B.I,South Korea
Leean,Jang Leean,2009-10-09,Hearts2Hearts,South Korea
Leeseo,Lee Hyunseo,2007-02-21,IVE,South Korea
Leia,Larissa Kartes,2001-05-14,Blackswan,Brazil
Lena,Kang Rena,2002-04-17,GWSN,South Korea
Lia,Choi Jisu,2000-07-21,ITZY,South Korea
Lily,Lily Jin Morrow,2002-10-17,NMIXX,Australia
Lime,Kim Hyerim,1993-01-19,Hello Venus,South Korea
Lin Lin,Huang Ziting,2003-07-05,,Taiwan
Lina,Oh Sejin,1997-07-27,ANS,South Korea
Lina,Oh Hyesoo,1997-05-23,RedSquare,South Korea
Linzy,Im Minji,1989-10-22,Fiestar,South Korea
Lisa,Pranpriya Manoban,1997-03-27,BLACKPINK,Thailand
Liv,Kim Chaeyoung,1997-07-05,IRRIS,South Korea
Liv,Jin Kyungeun,2006-10-11,RESCENE,South Korea
Liyah,Moon Liya,2000-05-11,MIXX,South Korea
Liz,Kim Jiwon,2004-11-21,IVE,South Korea
Lizzy,Park Sooyoung,1992-07-31,After School,South Korea
Loha,Kang Yejin,2001-12-27,Nature,South Korea
Lola,Choi Yoojung,2001-02-22,Pixy,South Korea
Lu,Im Hayoung,1997-12-03,NATURE,South Korea
LuA,Jo Hankyeung,1991-09-14,BADKIZ,South Korea
Lua,Kim Sookyung,2000-10-06,Weki Meki,South Korea
Lua,,2002-01-30,KELT9b,South Korea
Lucy,Noh Hyojung,2002-08-31,Weki Meki,South Korea
Lucy,Kim Daeun,2004-04-09,woo!ah!,South Korea
Luda,Lee Luda,1997-03-06,WJSN,South Korea
Luna,Park Sunyoung,1993-08-12,f(x),South Korea
Lynn,Kawakami Rin,2006-04-12,tripleS,Japan
Marin,Yasufuku Marin,2001-03-17,Bling Bling,Japan
Mashiro,Sakamoto Mashiro,1999-12-16,Madein,Japan
May,Jeong Chaeyoung,2001-07-27,,South Korea
May,Hirokawa Mao,2004-11-16,Cherry Bullet,Japan
May,Lee Yebin,2008-08-19,RESCENE,South Korea
Mayna,Simone Shaoxi Mengna,2000-05-12,HOT ISSUE,China
Mayu,Kouma Mayu,2001-05-12,tripleS,Japan
Medic Jin,Bae Yujin,1996-08-25,Girlkind,South Korea
Meiqi,Meng Meiqi,1998-10-15,,China
Mia,Son Hyunmi,1997-12-31,MIXX,South Korea
Mia,Han Eunji,2000-01-13,Everglow,South Korea
Mihee,Lee Mihee,2000-08-24,BOTOPASS,South Korea
Mijoo,Lee Mijoo,1994-09-23,Lovelyz,South Korea
Mika,Yu Dahyun,2002-01-08,Geenius,South Korea
Miko,Matsuda Miko,1995-10-28,Honey Popcorn,Japan
Miku,Katae Miku,2002-10-09,Pink Fantasy,Japan
Mimi,Jung Mimi,1993-01-01,Gugudan,South Korea
Mimi,Kim Mihyun,1995-05-01,Oh My Girl,South Korea
Min,Lee Minyoung,1991-06-21,miss A,South Korea
Mina,Kwon Mina,1993-09-21,,South Korea
Mina,Myoui Mina,1997-03-24,Twice,Japan
Mina,Kang Mina,1999-12-04,Gugudan,South Korea
Minah,Bang Minah,1993-05-13,Girl's Day,South Korea
Minami,Ito Minami,2006-11-29,RESCENE,Japan
Minha,Park Minha,1991-06-27,,South Korea
Minhee,Joo Minhee,1993-01-03,Stellar,South Korea
Mini,,2000-06-12,Purplebeck,South Korea
Minjae,Seong Minjae,1994-12-18,Sonamoo,South Korea
Minjae,Shin Minjae,1991-08-13,Tahiti,South Korea
Minji,Kim Minji,2001-01-16,Busters,South Korea
Minji,Kim Minji,2004-05-07,NewJeans,South Korea
Minji,Park Minji,1999-03-31,SECRET NUMBER,South Korea
Minjoo,Kim Minjoo,2001-02-05,IZ*ONE,South Korea
Minju,Kang Minjoo,2001-03-11,GWSN,South Korea
Minju,Seo Minju,2003-09-29,KELT9b,South Korea
Minju,Park Minju,2004-05-11,ILLIT,South Korea
Minjung,Cha Minjung,2004-07-15,,South Korea
Minkyung,Kang Minkyung,1990-08-03,Davichi,South Korea
Minnie,Nicha Yontararak,1997-10-23,(G)I-DLE,Thailand
Minseo,Kim Minseo,2004-08-12,woo!ah!,South Korea
Minseo,Park Minseo,2003-03-21,Saturday,South Korea
Mint,Kunpat Phonpawiworakun,1994-06-23,Tiny-G,Thailand
Minyoung,Kim Minyeong,1990-09-12,Brave Girls,South Korea
Minzy,Kong Minji,1994-01-18,2NE1,South Korea
Mire,Su Mire,2006-03-26,TRI.BE,Japan
Miryo,Jo Mihye,1981-11-02,Brown Eyed Girls,South Korea
Miso,Park Miso,1991-04-04,Tahiti,South Korea
Miso,Park Jihyun,1996-09-16,P.O.P,South Korea
Miso,Jeon Jimin,2000-10-25,Dreamnote,South Korea
MiU,Ito Miyu,2003-01-09,Madein,Japan
Miya,Miyauchi Haruka,1993-05-26,GWSN,Japan
Miyeon,Jo Miyeon,1997-01-31,(G)I-DLE,South Korea
Moka,Sakai Moka,2004-10-08,ILLIT,Japan
Moko,Sakura Moko,1991-03-19,Honey Popcorn,Japan
Momo,Hirai Momo,1996-11-09,Twice,Japan
Momoka,Matsuda Momoka,2000-12-26,Pink Fantasy,Japan
Monday,Kim Jimin,2002-05-10,Weeekly,South Korea
Monika,Kang Yeh,1991-05-21,BADKIZ,South Korea
Moon Sua,Moon Sua,1999-09-09,Billlie,South Korea
Moonbyul,Moon Byulyi,1992-12-22,Mamamoo,South Korea
Moonhee,Choi Moonhee,1997-04-15,Bonus Baby,South Korea
Myungji,Kim Myungji,1997-10-09,Tiny-G,South Korea
Nada,Yoon Yejin,1991-05-24,,South Korea
Naeun,Son Naeun,1994-02-10,,South Korea
Naeun,Lee Naeun,1999-05-05,APRIL,South Korea
Nagomi,Abe Nagomi,2007-07-02,Madein,Japan
Nahyun,Kim Nahyun,1995-12-09,Sonamoo,South Korea
Nahyun,Kang Nahyun,2002-01-25,PRIMROSE,South Korea
Nako,Yabuki Nako,2001-06-18,IZ*ONE,Japan
Nakyung,Lee Nakyung,2000-06-01,fromis_9,South Korea
Nakyung,Kim Nakyung,2002-10-13,tripleS,South Korea
Namjoo,Kim Namjoo,1995-04-15,Apink,South Korea
Nana,Im Jinah,1991-09-14,After School,South Korea
Nana,Kwon Nayeon,2001-03-09,woo!ah!,South Korea
Nana,Ezumi Nana,2007-06-06,UNIS,Japan
Nancy,Nancy Mcdonie,2000-04-13,MOMOLAND,South Korea
Nara,Kwon Nara,1991-03-13,Hello Venus,South Korea
Narae,Park Narae,1988-02-23,SPICA,South Korea
Nari,Kim Nari,1992-10-05,Wassup,South Korea
Narin,Lee Narin,2001-10-29,Bling Bling,South Korea
Narin,Lee Eunseo,2000-06-06,Queenz Eye,South Korea
Narsha,Park Hyojin,1981-12-28,Brown Eyed Girls,South Korea
Natty,Ahnatchaya Suputhipong,2002-05-30,KISS OF LIFE,Thailand
Nayeon,Im Nayeon,1995-09-22,Twice,South Korea
Nayeon,Kim Nayeon,2010-04-19,Hearts2Hearts,South Korea
Nayoung,Kim Nayoung,1995-11-23,Gugudan,South Korea
Nayoung,Im Nayoung,1995-12-18,Pristin,South Korea
Nayoung,Kim Nayoung,2002-11-30,LIGHTSUM,South Korea
Nayu,Kim Yewon,2002-07-23,ILY:1,South Korea
Nayun,Kim Nayun,1998-07-31,MOMOLAND,South Korea
NC.A,Im Soeun,1996-10-07,UNI.T,South Korea
New Sun,Choi Yoonsun,1997-06-19,Sonamoo,South Korea
Nicole,Nicole Jung,1991-10-07,KARA,South Korea
Nien,Hsu Nien Tsu,2003-06-02,tripleS,Taiwan
Nina,Nina Nadia Mateer,2003-03-15,IRRIS,Australia
Ningning,Ning Yizhuo,2002-10-23,aespa,China
Nizz,Hwang Sujeong,2001-07-07,X:IN,South Korea
Noeul,No Eul,1989-05-10,Rainbow,South Korea
Nova,Maria Pavlovna Emelyanova,2002-10-10,X:IN,Russia
Nvee,Florence Alena Smith,1999-01-10,Blackswan,USA
Onda,Jo Selim,2000-05-18,Everglow,South Korea
Pharita,Pharita Chaikong,2005-08-26,BABYMONSTER,Thailand
Qri,Lee Jihyun,1986-12-12,T-ara,South Korea
Rachel,Sung Nayeon,2000-08-28,APRIL,South Korea
Raina,Oh Hyerin,1989-05-07,After School,South Korea
Rainie,Chu Chingyu,2000-11-16,PRIMROSE,Taiwan
Raon,Lee Seoyoung,2000-01-21,ANS,South Korea
Rayeon,Lee Rayeon,2001-11-24,FANATICS,South Korea
Red,Lee Heejin,1991-07-10,Pungdeng-E,South Korea
Rei,Naoi Rei,2004-02-03,IVE,Japan
Remi,Katsuno Rise,2001-04-26,Cherry Bullet,Japan
Rena,Kang Yebin,1998-10-19,Hinapia,South Korea
Ria,Kuwayama Ria,1998-02-03,BOTOPASS,Japan
Riina,Lee Seunghyeon,2001-02-21,H1-KEY,South Korea
Rina,Kang Soeun,2001-09-27,Weki Meki,South Korea
Rinji,Hwang Rinji,2006-05-05,Pixy,South Korea
Ririka,Kishida Ririka,2002-07-02,ILY:1,Japan
Riwon,Kim Riwon,2007-01-11,CLASS:y,South Korea
Roa,Kim Minkyung,1997-07-29,Hinapia,South Korea
Roa,Kwak Jieun,1994-10-06,,South Korea
Rona,Chang Ching,2002-06-05,ILY:1,Taiwan
Rora,Lee Dain,2008-08-05,BABYMONSTER,South Korea
Rosé,Roseanne Park,1997-02-11,BLACKPINK,South Korea
Royeon,Jeon Hyunjoo,1998-02-20,ANS,South Korea
Ruby,Heo Jiwon,2002-08-21,PRIMROSE,South Korea
Rui,Watanabe Rui,1994-10-08,H.U.B,Japan
Ruka,Kawai Ruka,2002-03-20,BABYMONSTER,Japan
Ryujin,Shin Ryujin,2001-04-17,ITZY,South Korea
Saebom,Kim Saerok,1997-01-30,NATURE,South Korea
Saebom,Kim Seyoung,1995-01-13,Favorite,South Korea
Saebyeok,Shim Jaeyoung,1996-11-09,Ho1iday,South Korea
Saebyeol,Han Saebyeol,1996-05-23,Matilda,South Korea
Saena,Jung Sehyun,2004-03-12,FIFTY FIFTY,South Korea
Saerom,Lee Saerom,1997-01-07,fromis_9,South Korea
Sakura,Miyawaki Sakura,1998-03-19,LE SSERAFIM,Japan
Sally,Liu Xiening,1996-10-23,Gugudan,China
Sana,Minatozaki Sana,1996-12-29,Twice,Japan
Sang,Cui Xiang,1995-01-26,Clear:I,China
Sanga,Lee Sanga,1999-08-05,,South Korea
Sangah,Yoo Sangah,2002-09-04,LIGHTSUM,South Korea
Sarang,Choi Sarang,2007-11-30,Candy Shop,South Korea
Satbyeol,Jeon Yujin,2001-02-27,,South Korea
Sea,Kim Sujeong,1999-12-05,Highteen,South Korea
Seea,Kang Eunyoung,1994-08-21,Pink Fantasy,South Korea
Seeun,Yoon Seeun,2003-06-14,STAYC,South Korea
Segye,Shin Segye,1998-08-19,AREAL,South Korea
Sehyung,Kang Sehyung,1998-12-13,Berry Good,South Korea
Sei,Lee Seojung,2000-01-07,Weki Meki,South Korea
Sejeong,Kim Sejeong,1996-08-28,Gugudan,South Korea
Seline,Jung Yeonjeong,2000-06-20,Cignature,South Korea
Semi,Gu Semi,2002-04-10,Cignature,South Korea
Semmi,Oh Heesun,1995-10-22,Matilda,South Korea
Sena,Lim Yena,2005-10-12,ADYA,South Korea
Seohyun,Seo Joohyun,1991-06-28,SNSD,South Korea
Seoi,Lee Yejin,2000-02-12,H1-KEY,South Korea
Seokyoung,Kim Seokyung,1999-04-16,GWSN,South Korea
Seol,Min Jihye,1997-01-01,P.O.P,South Korea
Seola,Kim Hyunjung,1994-12-24,WJSN,South Korea
Seolhyun,Kim Seolhyun,1995-01-03,AoA,South Korea
Seonyu,Kim Seonyu,2008-03-20,CLASS:y,South Korea
Seoryoung,Lee Seoryung,2000-01-26,GWSN,South Korea
Seowon,Jang Seowon,2006-12-05,Lapillus,South Korea
Seowon,Jung Seowon,2004-04-26,ADYA,South Korea
Seowon,Lim Seowon,2011-01-27,UNIS,South Korea
Seoyeon,Lee Seoyeon,2000-01-22,fromis_9,South Korea
Seoyeon,Kim Minju,1995-11-26,Favorite,South Korea
Seoyeon,Yoon Seoyeon,2003-08-06,tripleS,South Korea
Seoyeon,Ahn Seoyeon,2005-03-26,CSR,South Korea
Seoyoon,Kim Suyoung,1995-01-26,BOTOPASS,South Korea
Seoyoung,Lee Seoyoung,1994-06-27,Hello Venus,South Korea
Seoyul,Seo Yuri,1997-11-26,Berry Good,South Korea
Serina,Saito Serina,2006-05-03,Madein,Japan
Serri,Park Miyeon,1990-09-16,Dal Shabet,South Korea
Seulgi,Kang Seulgi,1994-02-10,Red Velvet,South Korea
Seulgi,Jeong Seulgi,1990-05-12,S#aFLA,South Korea
Seungah,Oh Seungah,1988-09-13,Rainbow,South Korea
Seungchae,Cho Seungchae,2006-10-26,ADYA,South Korea
Seungeun,Shim Seungeun,2000-12-27,BVNDIT,South Korea
Seunghee,Oh Seunghee,1995-10-10,CLC,South Korea
Seunghee,Hyun Seunghee,1996-01-25,Oh My Girl,South Korea
Seungmin,Lee Seungmin,1996-02-03,Hashtag,South Korea
Seungyeon,Jang Seunyeon,1996-11-06,CLC,South Korea
Seungyeon,Han Seungyeon,1988-07-24,KARA,South Korea
Seyeon,Park Seyeon,2001-05-06,Purplebeck,South Korea
Seyoung,Ha Seyoung,1999-02-03,ARTBEAT,South Korea
Shana,Nonaka Shana,2003-03-13,Lapillus,Japan
Sheon,Kim Suyeon,2003-01-28,Billlie,South Korea
Shiho,Kwon Subin,2001-08-22,BOTOPASS,South Korea
Shinye,Kam Yerim,2004-03-07,MAJORS,South Korea
Shinyoung,Park Shinyoung,2000-03-19,G-reyish,South Korea
Shion,Park Shion,2006-04-03,tripleS,South Korea
Shuhua,Yeh Shuhua,2000-01-06,(G)I-DLE,Taiwan
Sieun,Lee Sieun,1993-09-19,CHECKMATE,South Korea
Sieun,Park Sieun,2001-08-01,STAYC,South Korea
Sieun,Lee Sieun,2001-05-29,ARTBEAT,South Korea
Sihyeon,Kim Sihyeon,1999-08-05,Everglow,South Korea
Sihyeon,Kang Sihyeon,1998-07-15,ARIAZ,South Korea
Sihyeon,Hwang Sihyeon,2005-03-12,CSR,South Korea
Sihyun,Park Sihyun,1986-11-29,SPICA,South Korea
Sika,Ren Shika,1995-08-22,,China
Simyeong,Lee Simyeong,1999-05-27,BVNDIT,South Korea
SinB,Hwang Eunbi,1998-06-03,VIVIZ,South Korea
Sio,Jeong Jiho,2004-10-06,FIFTY FIFTY,South Korea
Sion,Ryu Sion,2001-03-07,Geenius,South Korea
Sitala,Sitala Wongkrachang,1996-04-23,,Thailand
Siyeon,Lee Siyeon,1995-10-01,Dreamcatcher,South Korea
Siyoon,Kim Siyoon,2005-02-16,Billlie,South Korea
Soeun,Park Soeun,2002-10-26,Weeekly,South Korea
Soeun,Bang Soeun,2005-12-10,TRI.BE,South Korea
Sohee,Kim Sohee,1995-01-20,Nature,South Korea
Sohee,Kim Sohee,1999-12-31,ALICE,South Korea
Sohee,Kim Sohee,2003-08-14,Rocket Punch,South Korea
Sohee,Uhm Sohee,2004-01-01,,South Korea
Sohye,Kim Sohye,1999-07-19,,South Korea
Sohyun,Kwon Sohyun,1994-08-30,4minute,South Korea
Sohyun,Park Sohyun,2002-10-13,tripleS,South Korea
Sojin,Park Sojin,1986-05-21,Girl's Day,South Korea
Sojin,Jo Sojin,1991-10-11,9Muses,South Korea
Sojin,Hong Sojin,1999-09-24,Hashtag,South Korea
Sojung,Lee Sojung,1993-09-03,Ladies' Code,South Korea
Solar,Kim Yongsun,1991-02-21,Mamamoo,South Korea
Solbin,Ahn Solbin,1997-08-19,LABOUM,South Korea
Solji,Heo Solji,1989-01-10,EXID,South Korea
Somi,Jeon Somi,2001-03-09,,South Korea
Somin,Jang Somin,1993-11-10,BADKIZ,South Korea
Somin,Jeon Somin,1996-08-22,KARD,South Korea
Somyi,Ahn Somyi,2000-01-26,DIA,South Korea
Songhee,Yoon Songhee,1998-11-08,BVNDIT,South Korea
SongSun,Kim Songsun,1997-03-22,TRI.BE,South Korea
Songyee,Park Songyee,2004-09-25,,South Korea
Soobin,Park Soobin,1996-09-14,WJSN,South Korea
Soodam,Lee Soodam,1999-11-09,SECRET NUMBER,South Korea
Soojin,Seo Soojin,1998-03-09,,South Korea
Soojin,Lee Soojin,2001-12-12,Weeekly,South Korea
Soojung,Hwang Soojung,2001-05-10,Hi-L,South Korea
Soomin,Kim Soomin,2007-10-03,tripleS,South Korea
Sooyoung,Choi Sooyoung,1990-02-10,SNSD,South Korea
Sora,Sakata Sora,2003-08-30,woo!ah!,Japan
Soram,Jung Soram,2005-09-24,Candy Shop,South Korea
Sorn,Chonnasorn Sajakul,1996-11-18,CLC,Thailand
Soso,Wang Chingyi,2001-03-14,GWSN,Taiwan
Sowon,Kim Sojung,1995-12-07,Gfriend,South Korea
Sowon,Nam Soeun,2004-12-13,TRACER,South Korea
Soyee,Jang Sojin,1996-11-21,Gugudan,South Korea
Soyeon,Jung Soyeon,1994-05-04,LABOUM,South Korea
Soyeon,Park Soyeon,1987-10-05,,South Korea
Soyeon,Jeon Soyeon,1998-08-26,(G)I-DLE,South Korea
Soyou,Kang Jihyun,1992-02-12,SISTAR,South Korea
Soyoung,Yoo Soyoung,1996-03-29,,South Korea
Soyul,Park Hyekyeong,1991-05-15,Crayon Pop,South Korea
Sriya,Sriya Lenka,2003-09-15,Blackswan,India
Sua,Kim Bora,1994-08-10,Dreamcatcher,South Korea
Sua,Yang Sua,1995-03-24,Hashtag,South Korea
Sua,Choi Sooah,2003-02-24,Pixy,South Korea
Sua,Yoo Sua,2005-07-23,CSR,South Korea
Subin,Park Subin,1994-02-12,Dal Shabet,South Korea
Subin,Oh Subin,1998-09-30,Hashtag,South Korea
Sugyeong,Jo Sugyeong,2000-01-12,Favorite,South Korea
Suhye,Kim Suhye,2004-12-13,Madein,South Korea
Suhyeon,Kim Seunghyun,1988-04-19,S#aFLA,South Korea
Suhyeon,Kim Suhyun,2000-01-15,Billlie,South Korea
Suhyun,Yoo Suhyun,2000-08-15,KELT9b,South Korea
Sui,Cho Sui,2007-08-15,Candy Shop,South Korea
Sujeong,Ryu Sujeong,1997-11-19,Lovelyz,South Korea
Suji,Lee Suji,1998-03-20,UNI.T,South Korea
Sujin,Bang Sujin,1996-06-26,Wassup,South Korea
Sulli†,Choi Jinri,1994-03-29,,South Korea
Sullyoon,Seol Yoona,2004-01-26,NMIXX,South Korea
Sumin,Ji Sumin,1994-03-03,Sonamoo,South Korea
Sumin,Park Sumin,2001-09-09,Dreamnote,South Korea
Sumin,Bae Sumin,2001-03-13,STAYC,South Korea
Sun J,Jeon Heesun,2001-02-13,Girlkind,South Korea
Sungah,Son Sungah,1989-07-08,9Muses,South Korea
Sungyeon,Bae Sungyeon,1999-05-25,Pristin,USA
Sunhwa,Han Sunhwa,1990-10-06,,South Korea
Sunhye,Jeong Sunhye,2004-04-12,YOUNG POSSE,South Korea
Sunmi,Lee Sunmi,1992-05-02,Wonder Girls,South Korea
Sunn,Hwang Jiwon,2000-02-07,,South Korea
Sunny,Lee Sunkyu,1989-05-15,SNSD,South Korea
Sunshine,Kim Minjung,2002-06-20,NATURE,South Korea
Suri,Kang Suri,1994-10-11,CHECKMATE,South Korea
Surin,Kim Surin,1991-12-27,Two X,South Korea
Suyeon,Ji Suyeon,1997-04-20,Weki Meki,South Korea
Suyun,Kim Suyun,2001-03-17,Rocket Punch,South Korea
Suzy,Bae Suji,1994-10-10,miss A,South Korea
Suzy,Kim Suji,2001-06-03,MAJORS,South Korea
Swan,Kim Suan,2000-12-28,CRAXY,South Korea
Swan,Park Soojin,2003-07-11,Purple Kiss,South Korea
Taeha,Yoo Taeha,1995-10-05,,South Korea
Taeha,Kim Taeha,1998-06-03,,South Korea
Taera,Lee Yujin,1994-04-12,Gate9,South Korea
Taeryeong,Lim Jeongmin,2000-12-27,LUNARSOLAR,South Korea
Taeyeon,Kim Taeyeon,1989-03-09,SNSD,South Korea
Terry,Han Dasom,1998-02-02,,South Korea
Tiffany,Hwang Miyoung,1989-08-01,SNSD,South Korea
Tina,Christine Joy Park,1994-09-01,Blady,USA
Tsuki,Fukutomi Tsuki,2002-09-21,Billlie,Japan
Tzuyu,Chou Tzuyu,1999-06-14,Twice,Taiwan
U-Si,Yoo Jiyeon,1997-11-13,BADKIZ,South Korea
Uchae,Yu Hyejun,2002-05-07,NATURE,South Korea
Uee,Kim Yujin,1988-04-09,,South Korea
Uji,Jang Yuji,1991-01-02,,South Korea
Umji,Kim Yewon,1998-08-19,VIVIZ,South Korea
Via,Kim Via,2000-08-17,FANATICS,South Korea
Victoria,Song Qian,1987-02-02,f(x),China
Viki,Kang Eunhye,1988-03-28,,South Korea
Vin,Choi Seobin,2004-11-27,BADVILLAIN,South Korea
Vita,Kim Jimin,2000-02-03,MAJORS,South Korea
Vivi,Wong Viian,1996-12-09,Loossemble,Hong Kong
Vivian,Park Sunghee,1998-12-08,Gate9,South Korea
Way,Heo Minsun,1990-07-12,Crayon Pop,South Korea
Wendy,Son Seunghwan,1994-02-21,Red Velvet,South Korea
Wheein,Jung Wheein,1995-04-17,Mamamoo,South Korea
Windy,Park Jinju,2000-02-23,Girls' World,South Korea
Winter,Kim Minjung,2001-01-01,aespa,South Korea
Wonchae,Hwang Chaewon,2002-12-22,Queenz Eye,South Korea
Wonhee,Lee Wonhee,2007-06-26,ILLIT,South Korea
Woni,Jeong Woni,2004-05-25,RESCENE,South Korea
Wony,Ahn Seungwon,2004-10-04,We;Na,South Korea
Wonyoung,Jang Wonyoung,2004-08-31,IVE,South Korea
Woo-ah,Kim Chaewon,1997-06-20,CRAXY,South Korea
Woohee,Bae Woohee,1991-11-21,Dal Shabet,South Korea
Woojoo,Kim Woojoo,1996-08-12,Wassup,South Korea
Woolim,Hwang Woolim,1996-08-29,Playback,South Korea
Woori,Go Woori,1988-02-22,Rainbow,South Korea
Wooyeon,Park Jinkyung,2003-02-11,woo!ah!,South Korea
Xeheun,Lee Seheun,1999-07-11,Girlkind,South Korea
XiaoTing,Shen Xiao Ting,1999-11-12,Kep1er,China
Xinyu,Zhou Xinyu,2001-05-25,tripleS,China
Xiyeon,Park Junghyun,2000-11-14,Pristin,South Korea
Xuanyi,Wu Xuanyi,1995-01-26,,China
Yeah,Kim Haeun,1999-10-09,,South Korea
Yebin,Baek Yebin,1997-07-13,DIA,South Korea
Yebin,Kim Yebin,2004-11-01,HOT ISSUE,South Korea
Yechan,Kim Yechan,1995-11-26,Pink Fantasy,South Korea
YeeEun,Jang Yeeun,1998-08-10,CLC,South Korea
Yeeun,Hwang Yeeun,1997-01-12,Blady,South Korea
Yeham,Gu Yeham,2005-10-07,CSR,South Korea
Yehana,Kim Yewon,1999-02-22,Pristin,South Korea
Yein,Jeong Yein,1998-06-04,Lovelyz,South Korea
Yein,Ahn Yein,1995-05-04,MELODYDAY,South Korea
Yeji,Hwang Yeji,2000-05-26,ITZY,South Korea
Yeju,Kim Yeju,2004-02-01,ICHILLIN',South Korea
Yel,Han Shinyoung,2004-12-25,H1-KEY,South Korea
Yellow,Kim Eunbi,1993-05-05,Pungdeng-E,South Korea
Yena,Yang Yena,2000-05-22,APRIL,South Korea
Yena,Jeong Yena,2000-04-10,G-reyish,South Korea
Yena,Choi Yena,1999-09-29,IZ*ONE,South Korea
Yenny,Park Yeeun,1989-05-26,Wonder Girls,South Korea
Yeoeun,Jung Jieun,1990-01-25,MELODYDAY,South Korea
Yeojin,Im Yeojin,2002-11-11,Loossemble,South Korea
Yeonha,Ahn Yeonji,2000-05-19,P.O.P,South Korea
Yeonhee,Kim Yeonhee,2000-12-06,Rocket Punch,South Korea
Yeonjae,Choi Yeonjae,2000-12-06,mimiirose,South Korea
Yeonje,Yang Yeonje,1999-10-15,ALICE,South Korea
Yeonji,Kwak Yeonji,2008-01-08,tripleS,South Korea
Yeonjoo,Song Yeonjoo,1997-06-26,P.O.P,South Korea
Yeonjung,Yu Yeonjung,1999-08-03,WJSN,South Korea
Yeonjung,Wi Yeonjung,2004-09-01,YOUNG POSSE,South Korea
Yeonseo,Ryu Yeonseo,2004-09-26,We;Na,South Korea
Yeonsu,Ryu Yeonsu,2003-02-19,ADYA,South Korea
Yeonwoo,Lee Dabin,1996-08-01,,South Korea
Yeoreum,Lee Jinsook,1999-01-10,WJSN,South Korea
Yeoreum,Ahn Chaeyeon,1996-06-04,Hello Venus,South Korea
Yeori,Kim Soyeon,1994-05-30,Gate9,South Korea
Yeori,Choi Yeori,1999-09-08,ARIAZ,South Korea
Yeowool,Ha Yeowool,1998-04-11,Purplebeck,South Korea
Yeri,Kim Yerim,1999-03-05,Red Velvet,South Korea
Yerim,Jeong Yerim,1997-03-10,Purplebeck,South Korea
Yerin,Baek Yerin,1997-06-26,15&,South Korea
Yerin,Jung Yerin,1996-08-19,Gfriend,South Korea
Yeryung,,2002-06-22,Lusty,South Korea
Yeseo,Kang Yeseo,2005-08-22,Madein,South Korea
Yeseul,Kim Yeseul,2004-03-24,Hi-L,South Korea
Yeso,Lee Yeso,2001-11-13,G-reyish,South Korea
Yeum,Jung Myeongwoo,2001-11-19,,South Korea
Yewon,Park Yewon,2004-01-11,HOT ISSUE,South Korea
Yewon,Han Yewon,2003-02-07,mimiirose,South Korea
Yeyoung,Choi Yeyoung,2000-05-31,Geenius,South Korea
Yezi,Lee Yeji,1994-08-26,Fiestar,South Korea
