stage_name,full_name,birth_date,group_name,country
Ling Qi,Ling Qi,2002-06-04,FANTASY BOYS,China
Lim Jimin,Lim Jimin,2001-05-22,JUST B,South Korea
Lien,Shimada Sho,1998-03-11,Mirae,Japan
Lex,Jeon Hyungmin,1993-01-12,Bigflo,South Korea
Lex,Zo Doohyun,2000-03-16,XODIAC,South Korea
Lew,Lee Euiwoong,2001-04-05,TEMPEST,South Korea
Leon,Kim Donghyun,2000-07-25,TRENDZ,South Korea
Leo,Jung Taekwon,1990-11-10,VIXX,South Korea
Leo,Hayase Leo,2002-10-08,T1419,Japan
Leo,,2002-06-15,XODIAC,Hong Kong
Leeteuk,Park Jeongsu,1983-07-01,Super Junior,South Korea
Leejeong,Jeon Leejeong,2003-09-08,WHIB,South Korea
Leehan,Kim Donghyun,2004-10-20,BOYNEXTDOOR,South Korea
Leedo,Kim Geonhak,1997-07-26,Oneus,South Korea
Lee Know,Lee Minho,1998-10-25,Stray Kids,South Korea
Lee Joon,Lee Changseon,1988-02-07,,South Korea
Lee Hyeop,Lee Hyeop,1999-08-13,DRIPPIN,South Korea
Lee Hoo,Moon Junyoung,1989-02-09,ZE:A,South Korea
Lay,Zhang Yixing,1991-10-07,EXO,China
Laun,Kim Minseok,1999-08-12,,South Korea
Laon,Shin Kyuhyun,1995-12-19,ENOi,South Korea
Lai Kuanlin,Lai Kuanlin,2001-09-23,Wanna One,Taiwan
L.Joe,Lee Byunghun,1993-11-23,,South Korea
L,Kim Myungsoo,1992-03-13,Infinite,South Korea
Kyungyoon,Lee Kyungyoon,2000-02-21,Dongkiz,South Korea
Kyungmun,Lim Kyungmun,2003-06-29,YOUNITE,South Korea
Kyungmin,Jo Kyungmin,2004-10-28,8TURN,South Korea
Kyungmin,Lee Kyungmin,2007-10-02,TWS,South Korea
Kyungjun,Woo Kyungjun,2002-08-30,TNX,South Korea
Kyungil,Song Kyungil,1987-11-28,HISTORY,South Korea
Kyungho,Jang Kyungho,2001-05-07,TOO,South Korea
Kyuhyun,Cho Kyuhyun,1988-02-03,Super Junior,South Korea
Kyuhyuk,Shim Kyuhyuk,1995-01-11,Hot Blood Youth,South Korea
Kyuhwan,Lee Kyuhwan,1994-09-18,SIGNAL,South Korea
Kyrell,Kyrell Choi,2005-07-03,AMPERS&ONE,USA
Kyle,Ma Jaekyung,1997-01-15,Romeo,South Korea
Kyeongheon,Yoon Kyeongheon,1998-01-06,We In The Zone,South Korea
Kwangmin,Jo Kwangmin,1995-04-24,Boyfriend,South Korea
Kwangjin,Kwon Kwangjin,1992-08-12,N.Flying,South Korea
Kwanghee,Hwang Kwanghee,1988-08-25,ZE:A,South Korea
Kun,Qian Kun,1996-01-01,NCT,China
Kuhn,Noh Sooil,1995-11-11,UP10TION,South Korea
Kris,Wu Yifan,1990-11-06,,Canada
Kookheon,Kim Kookheon,1997-04-15,B.O.Y,South Korea
Kongyeol,Go Minsoo,1996-05-19,UP10TION,South Korea
Kiwon,Lee Kiwon,1996-06-27,GIDONGDAE,South Korea
Kisu,Choi Kisu,1990-10-02,24K,South Korea
Kiseop,Lee Kiseop,1991-01-17,U-KISS,South Korea
Kio,Udo Musashi,2004-11-28,T1419,South Korea
Kino,Kang Hyungku,1998-01-27,PENTAGON,South Korea
Kim Yoon,Kim Seongsu,1994-02-17,DUSTIN,South Korea
Kim Sanggyun,Kim Sanggyun,1995-05-23,JBJ95,South Korea
Kihyun,Yoo Kihyun,1993-11-22,MONSTA X,South Korea
Kidoh,Jin Hyosang,1992-12-16,,South Korea
Kid,Kim Junhoe,1995-10-26,VARSITY,South Korea
Kichun,Hwang Kichun,1992-03-14,WE:A,South Korea
Kibum,Kim Kibum,1987-08-21,,South Korea
Khael,Lee Sangmin,2002-01-18,Mirae,South Korea
Key,Kim Kibum,1991-09-23,SHINee,South Korea
Kevin,Christopher Woo,1991-11-25,U-KISS,USA
Kevin,Kevin Jiyeop Kim,1988-02-23,ZE:A,South Korea
Kevin,Moon Hyungseo,1998-02-23,The Boyz,Canada
Kevin,Park Jinwoo,2000-01-12,OMEGA X,South Korea
Kevin,Baek Seungbin,2001-04-08,T1419,South Korea
Keum,Keum Donghyun,2003-05-14,EPEX,South Korea
Keonwoo,Kim Keonwoo,1996-12-17,MY.st,South Korea
Keonhee,Lee Keonhee,1998-06-27,Oneus,South Korea
Keon,Kim Keon,2001-02-16,WEUS,South Korea
Kenta,Takada Kenta,1995-01-10,JBJ,Japan
Ken,Lee Jaehwan,1992-04-06,VIXX,South Korea
Keita,Terazono Keita,2001-07-04,Ciipher,Japan
Keeho,Yoon Kiho,2001-09-27,P1Harmony,Canada
KB,Shin Kyubin,1994-04-23,OnlyOneOf,South Korea
Kangsung,Lee Kangsung,2002-08-08,Ghost9,South Korea
Kangmin,Noh Kangmin,1999-09-05,Romeo,South Korea
Kangmin,Yoo Kangmin,2003-01-25,Verivery,South Korea
Kangin,Kim Youngwoon,1985-01-17,,South Korea
Kanghyun,Kang Hyungu,1998-11-24,Onewe,South Korea
Kamden,Kamden Winston Na,2001-06-09,AMPERS&ONE,USA
Kairi,Imai Kairi,2003-02-24,T1419,Japan
Kain,Bang Junho,1997-03-25,ARGON,South Korea
Kai,Kim Jongin,1994-01-14,EXO,South Korea
Kaedan,Kaedan Keonwoo Nam,2009-03-24,FANTASY BOYS,South Korea
K-Soul,Liu Zekai,2000-10-19,FANTASY BOYS,China
Juyeon,Lee Juyeon,1998-01-16,The Boyz,South Korea
Junyoung,Lee Junyoung,2000-09-23,IZ,South Korea
Junwook,Kim Junwook,2002-01-10,TheEastLight,South Korea
Junwoo,Sim Junwoo,2003-09-21,LUN8,South Korea
Juntae,Kim Juntae,1995-09-04,MY.st,South Korea
Junseong,Choi Junseong,2002-09-29,Ghost9,South Korea
Junseok,Oh Junseok,2003-03-03,ATBO,South Korea
Junseo,Kim Junseo,2001-11-20,WEi,South Korea
Junseo,Hwang Junseo,2001-01-16,DKB,South Korea
Junseo,Park Junseo,2001-12-28,BAE173,South Korea
JunQ,Kang Junkyu,1993-08-09,MYNAME,South Korea
Junmin,Ryu Junmin,2003-04-05,ATBO,South Korea
Junmin,Park Junmin,2003-05-24,xikers,South Korea
Junkyu,Kim Junkyu,2000-09-09,Treasure,South Korea
Junji,Kim Junhyung,1998-04-06,OnlyOneOf,South Korea
Junhyung,Yong Junyung,1989-12-19,Highlight,South Korea
Junhyung,Son Junhyung,2000-10-21,Ghost9,South Korea
Junhyuk,Choi Junhyuk,1992-04-21,HOTSHOT,South Korea
Junhyuk,Lee Junhyuk,2000-05-16,Mirae,South Korea
Junhyoung,Oh Junhyoung,2001-04-14,CMDM,South Korea
Junhyeok,Kim Junhyeok,1993-07-17,,South Korea
Junhyeok,Cheon Junhyeok,2004-09-20,TNX,South Korea
Junho,Lee Junho,1990-01-25,2:00 PM,South Korea
Junho,Cha Junho,2002-07-09,DRIPPIN,South Korea
Jungwoo,Kim Jungwoo,1998-02-19,NCT,South Korea
Jungwon,Yang Jungwon,2004-02-09,ENHYPEN,South Korea
Jungsu,Kim Jungsu,2001-06-26,Xdinary Heroes,South Korea
Jungshin,Lee Jungshin,1991-09-15,CNBLUE,South Korea
Jungmo,Koo Jungmo,2000-02-05,CRAVITY,South Korea
Jungkook,Jeon Jungkook,1997-09-01,BTS,South Korea
Junghyun,Mun Junghyun,2005-03-31,EVNNE,South Korea
Junghwan,So Junghwan,2005-02-18,Treasure,South Korea
Junghun,Jang Junghun,1999-02-27,Astin,South Korea
Junghoon,Lee Junghoon,2000-07-04,1TEAM,South Korea
Junghoon,Han Jeonghoon,2000-02-14,OMEGA X,South Korea
Junghoon,Kim Junghoon,2005-07-05,xikers,South Korea
Jungbin,Lim Jungbin,2003-07-22,POW,South Korea
June,Lee Junyoung,2003-06-16,BXB,South Korea
Jun. K,Kim Minjun,1988-01-15,2:00 PM,South Korea
Jun Jin,Park Choongjae,1980-08-19,Shinhwa,South Korea
Jun Han,Han Hyeongjun,2002-08-18,Xdinary Heroes,South Korea
Jun H.,Im Joonhyun,1991-08-28,UNVS,South Korea
Jun,Weng Junhui,1996-06-10,Seventeen,China
Jun,Lee Junyoung,1997-01-22,U-KISS,South Korea
Jun,Park Junhee,1994-06-02,A.C.E,South Korea
Jukang,Lee Hyowon,2002-11-22,JWiiver,South Korea
Juho,Yang Zuho,2004-03-04,HAWW,South Korea
Juhan,Hong Seunghyun,2001-06-21,BLITZERS,South Korea
Juhaknyeon,Ju Haknyeon,1999-03-09,The Boyz,South Korea
Ju-ne,Koo Junhoe,1997-03-31,iKON,South Korea
JR,Kim Jonghyun,1995-06-08,NU'EST,South Korea
Joshua,Hong Jisoo,1995-12-30,Seventeen,USA
Jooyeon,Lee Jooyeon,2002-09-12,Xdinary Heroes,South Korea
Joohyoung,Kim Joohyoung,2003-03-15,NINE.i,South Korea
Jooheon,Lee Jooheon,1994-10-06,MONSTA X,South Korea
Joochan,Hong Joochan,1999-07-31,Golden Child,South Korea
Jooan,Im Jimyoung,1996-10-04,We In The Zone,South Korea
Jongwoo,Yoon Jongwoo,2000-06-12,ONE PACT,South Korea
Jongup,Moon Jongup,1995-02-06,B.A.P,South Korea
Jongseob,Kim Jongseob,2005-11-19,P1Harmony,South Korea
Jonghyun†,Kim Jonghyun,1990-04-08,,South Korea
Jonghyun,Lee Jonghyun,1990-05-15,CNBLUE,South Korea
Jonghyeong,Kim Jonghyeong,2002-04-13,Dongkiz,South Korea
Jonghwan,Jo Jonghwan,1992-11-23,FAVE1,South Korea
Jonghoon,Choi Jonghoon,1990-03-07,FTISLAND,South Korea
Jongho,Choi Jongho,2000-10-12,ATEEZ,South Korea
Johnny,John Seo,1995-02-09,NCT,USA
Jo,,2008-02-04,DXMON,South Korea
JM,Chu Jimin,2001-10-11,JUST B,South Korea
JJ,Jun Jihyeok,1998-12-11,DUSTIN,South Korea
Jiwoong,Kim Jiwoong,1998-12-14,ZEROBASEONE,South Korea
Jiung,Choi Jiwoong,2001-10-07,P1Harmony,South Korea
Jisung,Park Jisung,2002-02-05,NCT,South Korea
Jisung,Yoon Jisung,1991-03-08,Wanna One,South Korea
Jisung,Kim Jisung,2000-12-21,TRCNG,South Korea
Jisu,Choi Jisu,2000-01-19,TOO,South Korea
Jisan,Choi Jinsang,1999-11-03,Hot Blood Youth,South Korea
Jinyoung,Jung Jinyoung,1991-11-18,,South Korea
Jinyoung,Park Jinyoung,1994-09-22,GOT7,South Korea
Jinyoung,Bae Jinyoung,2000-05-10,CIX,South Korea
Jinyoung,Woo Jinyoung,1997-05-31,D1CE,South Korea
Jinwoo,Lee Jinwoo,2004-09-13,Ghost9,South Korea
Jinu,Kim Jinwoo,1991-09-26,WINNER,South Korea
Jinsung,Jung Jinsung,2002-03-30,1the9,South Korea
Jinsu,Park Jinsu,2003-02-05,LUN8,South Korea
Jinsik,Han Jinsik,2004-07-30,xikers,South Korea
Jinkwon,Kim Jinkwon,2001-01-31,Newkidd,South Korea
Jinhwa,Choi Jinhwa,2002-01-15,BLITZERS,South Korea
Jinhoo,Kim Jinwook,1995-08-02,,South Korea
Jinhong,Kim Jinhong,1998-01-02,24K,South Korea
Jinho,Jo Jinho,1992-04-17,PENTAGON,South Korea
Jingyu,Lee Jingyu,1998-04-22,Astin,South Korea
Jinbeom,Park Jinbeom,2002-04-22,WHIB,South Korea
Jin Jin,Park Jinwoo,1996-03-15,ASTRO,South Korea
Jin,Kim Seokjin,1992-12-04,BTS,South Korea
Jimin,Park Jimin,1995-10-13,BTS,South Korea
Jimin,Kim Jimin,2002-05-01,HAWW,South Korea
Jihun,Kim Jihun,2000-01-09,BXB,South Korea
Jihun,Kim Jihun,1995-02-20,KNK,South Korea
Jihoon,Park Jihoon,1999-05-29,Wanna One,South Korea
Jihoon,Park Jihoon,2000-03-14,Treasure,South Korea
Jihoon,Han Jihoon,2006-03-28,TWS,South Korea
Jihoo,Lim Soojung,1998-08-05,IZ,South Korea
Jihoo,Park Jihoo,2006-07-14,EVNNE,South Korea
Jiho,Jang Jiho,2004-08-10,NINE.i,South Korea
Jiho,Choi Jiho,2004-06-10,AMPERS&ONE,South Korea
Jibeom,Kim Jibeom,1999-02-03,Golden Child,South Korea
Jiahn,Yoo Jiahn,1992-04-01,IN2IT,South Korea
Ji Hansol,Ji Hansol,1994-11-21,Newkidd,South Korea
Ji Eunho,Lee Sangmin,2005-05-21,LUN8,South Korea
Jewon,Woo Jewon,1998-11-28,NINE.i,South Korea
Jeongyoon,Woo Jeongyoon,2003-04-11,WEUS,South Korea
Jeongwoo,Park Jeongwoo,2004-09-28,Treasure,South Korea
Jeonguk,Kim Jeonguk,1993-03-20,24K,South Korea
Jeongseung,Park Jeongseung,2002-05-20,D-CRUNCH,South Korea
Jeongmin,Lee Jeongmin,1994-02-01,Boyfriend,South Korea
Jeongmin,Woo Jeongmin,2002-05-31,WEUS,South Korea
Jeongkyun,Jeong Jeongkyun,1987-11-27,WE:A,South Korea
Jeonghyeon,Lee Jeonghyeon,2002-09-11,EVNNE,South Korea
Jeonghan,Yoon Jeonghan,1995-10-04,Seventeen,South Korea
Jeonggyu,Lim Jeonggyu,1997-11-05,7 O'clock,South Korea
Jeongeun,Park Jeongeun,2003-04-17,HAWW,South Korea
Jeon Woong,Jeon Woong,1997-10-15,AB6IX,South Korea
Jeno,Lee Jeno,2000-04-23,NCT,South Korea
Jenissi,Kim Taeyang,1991-08-02,,South Korea
Jen,Kim Yehyeon,1997-03-27,UNVS,South Korea
Jehyun,Moon Jehyun,1999-04-20,OMEGA X,South Korea
Jeff,Lee Jaeho,2005-04-21,EPEX,South Korea
JB,Im Jaebum,1994-01-06,GOT7,South Korea
Jayder,Kim Junbmin,2002-12-31,WHIB,South Korea
Jay Chang,Jay Steven Kapossy,2001-03-08,ONE PACT,USA
Jay,Kim Jinhwan,1994-02-07,iKON,South Korea
Jay,Park Jongsung,2002-04-20,ENHYPEN,South Korea
Jangjun,Lee Jangjun,1997-03-03,Golden Child,South Korea
Jake,Shim Jaeyoon,2002-11-15,ENHYPEN,South Korea
Jahan,Im Jihun,2002-08-01,Kingdom,South Korea
Jaeyun,Lee Jaeyun,2000-08-16,TOO,South Korea
Jaeyun,Moon Jaeyun,2002-07-02,8TURN,New Zealand
Jaeyoon,Lee Jaeyoon,1994-08-09,SF9,South Korea
Jaewon,Shin Jaewon,2004-03-02,,South Korea
Jaeun,Ha Jaeun,1999-09-28,ARGON,South Korea
Jaeseok,Park Jaeseok,1995-11-20,,South Korea
Jaemin,Na Jaemin,2000-08-13,NCT,South Korea
Jaemin,Shin Jaemin,1996-06-08,XEED,South Korea
Jaejoong,Kim Jaejoong,1986-01-26,JYJ,South Korea
Jaejin,Lee Jaejin,1991-12-17,FTISLAND,South Korea
Jaehyun,Jung Yoonoh,1997-02-14,NCT,South Korea
Jaehyun,Kim Jaehyun,1994-07-15,N.Flying,South Korea
Jaehyun,Bong Jaehyun,1999-01-04,Golden Child,South Korea
Jaehyun,Myung Jaehyun,2003-12-04,BOYNEXTDOOR,South Korea
Jaehyuk,Yoon Jaehyuk,2001-07-23,Treasure,South Korea
Jaehyo,Ahn Jaehyo,1990-12-23,Block B,South Korea
Jaehwan,Kim Jaehwan,1996-05-27,Wanna One,South Korea
Jaeho,Kim Jaeho,1992-09-17,HISTORY,South Korea
Jaehan,Kim Jaehan,1995-07-01,OMEGA X,South Korea
Jaeha,Lee Jaehyun,2004-07-01,WHIB,South Korea
Jaechan,Park Jaechan,2001-12-06,Dongkiz,South Korea
Jaebin,Deung Bin,1997-02-13,VARSITY,China
Jae,Park Jaehyung,1992-09-15,DAY6,South Korea
Jacob,Bae Joonyoung,1997-05-30,The Boyz,South Korea
Jacob,Zhang Peng,1996-09-07,VAV,China
Jackson,Jackson Wang,1994-03-28,GOT7,Hong Kong
J.YOU,Kim Jaeyu,2000-11-02,TOO,South Korea
J.seph,Kim Taehyung,1992-06-21,KARD,South Korea
J-Us,Lee Seungjoon,1995-01-13,ONF,South Korea
J-Min,Jeon Minwook,1999-10-16,BAE173,South Korea
J-Hope,Jung Hoseok,1994-02-18,BTS,South Korea
J-Hoon,Lim Junghoon,1990-07-15,B.I.G,South Korea
Ivan,Park Yooseong,2001-10-12,Kingdom,South Korea
Isaac,Voo Isaak,1994-12-12,IN2IT,Malaysia
Intak,Hwang Intak,2003-08-31,P1Harmony,South Korea
Insoo,Kang Insoo,1988-03-10,MYNAME,South Korea
Inseong,Kim Inseong,1993-07-12,SF9,South Korea
Inseong,Jeong Inseong,1994-07-01,KNK,South Korea
Inpyo,Lee Inpyo,1995-08-14,IN2IT,South Korea
Inhong,Lee Inhong,2004-11-12,WHIB,South Korea
Inho,Hwang Inho,1993-06-21,IN2IT,South Korea
Ilhoon,Jung Ilhoon,1994-10-04,BtoB,South Korea
Ian,Ro Sungchul,2003-12-11,LUN8,South Korea
I.N,Yang Jeongin,2001-02-08,Stray Kids,South Korea
I.M,Lim Changkyun,1996-01-26,MONSTA X,South Korea
Hyunwoong,Kim Hyunwoong,1998-02-08,14U,South Korea
Hyunwook,Ji Hyunwook,1998-07-01,D-CRUNCH,South Korea
Hyunwoo,Kim Hyunwoo,2001-01-21,BXB,South Korea
Hyunwoo,Baek Hyunwoo,1999-03-19,D-CRUNCH,South Korea
Hyunwoo,Choi Hyunwoo,2004-12-04,xikers,South Korea
Hyunuk,Han Hyunuk,1994-09-26,IN2IT,South Korea
Hyunsuk,Choi Hyunsuk,1999-04-21,Treasure,South Korea
Hyunsuk,Yoon Hyunsuk,2001-09-08,CIX,South Korea
Hyunsoo,Kim Hyunsoo,1995-04-12,D1CE,South Korea
Hyunsoo,Jang Hyunsoo,2003-09-16,TNX,South Korea
Hyunsik,Lim Hyunsik,1992-03-07,BtoB,South Korea
Hyunsik,Won Hyunsik,1997-09-12,XODIAC,South Korea
Hyunseung,Jang Hyunseung,1989-09-03,,South Korea
Hyunseung,Kim Hyunseung,2002-10-15,YOUNITE,South Korea
Hyunseong,Shim Hyunseong,1993-06-09,Boyfriend,South Korea
Hyunoh,Park Hyunoh,1999-02-12,D-CRUNCH,South Korea
Hyunmin,Byun Hyunmin,1999-04-17,,South Korea
Hyunkyung,Kim Hyunjong,1998-09-05,Romeo,South Korea
Hyunjun,Lee Hyunjun,1999-12-21,IZ,South Korea
Hyunjun,Bae Hyunjun,2003-06-06,ATBO,South Korea
Hyunjin,Hwang Hyunjin,2000-03-20,Stray Kids,South Korea
Hyunjae,Lee Jaehyun,1997-09-13,The Boyz,South Korea
Hyunho,Lee Hyunho,1998-11-04,D-CRUNCH,South Korea
Hyunhah,Kim Hyunhah,2000-05-09,CMDM,South Korea
Hyungwon,Chae Hyungwon,1994-01-15,MONSTA X,South Korea
Hyungsik,Park Hyungsik,1991-11-16,ZE:A,South Korea
Hyungseop,Ahn Hyungseop,1999-08-09,TEMPEST,South Korea
Hyungseok,Song Hyungseok,2002-11-06,YOUNITE,South Korea
Hyunbin,Kwon Hyunbin,1997-03-04,JBJ,South Korea
Hyunbin,Moon Hyunbin,2000-02-26,Ciipher,South Korea
Hyunbin,Koo Hyunbin,2003-05-29,POW,South Korea
Hyun,Park Sunghyun,1997-08-25,7 O'clock,South Korea
Hyukjin,Jang Hyukjin,1993-12-20,FAVE1,South Korea
Hyukjin,Son Hyukjin,2003-12-12,WEUS,South Korea
Hyuk,Han Sanghyuk,1995-07-05,VIXX,South Korea
Hyuk,Yang Hyuk,2000-03-15,OMEGA X,South Korea
Hyuk,Koo Bonhyuk,2000-04-17,TEMPEST,South Korea
Hyounjoon,Jang Hyounjoon,2008-10-25,The Wind,South Korea
Hyojin,Kim Hyojin,1994-04-22,ONF,South Korea
Hyesung,Park Hyeseong,1996-01-17,VANNER,South Korea
Hyeontae,Oh Hyeontae,2008-08-13,FANTASY BOYS,South Korea
Hyeongseok,Chu Hyeongseok,2000-09-13,Astin,South Korea
Hyeongjun,Song Hyeongjun,2002-11-30,CRAVITY,South Korea
Hwiyoung,Kim Youngkyun,1999-05-11,SF9,South Korea
Hwichan,Lee Heechan,1996-04-18,Limitless,South Korea
Hwi,Jo Mingyu,2002-09-26,Newkidd,South Korea
Hwi,Lee Choonghyun,1999-02-04,Ciipher,South Korea
Hwi,Eun Hwi,2004-11-11,TNX,South Korea
Hweseung,Yoo Hweseung,1995-02-28,N.Flying,South Korea
Hwarang,Park Jonghan,1995-12-05,Spectrum,South Korea
Hwarang,Son Jaewon,2001-04-23,TEMPEST,South Korea
Hwanwoong,Yeo Hwanwoong,1998-08-26,Oneus,South Korea
Hwani,Jo Sihyeon,1994-11-16,DUSTIN,South Korea
Hwanhee,Lee Hwanhee,1998-05-06,UP10TION,South Korea
Hwall,Heo Hyunjoon,2000-03-09,,South Korea
Hunter,Papungkorn Lertkiatdamrong,2005-10-05,xikers,Thailand
Huijun,Noh Huijun,2003-10-07,MCND,South Korea
Hui,Lee Hwitaek,1993-08-28,PENTAGON,South Korea
Hui,Liang Hui,1995-07-18,24K,China
Hueningkai,Kai Kamal Huening,2002-08-14,TXT,USA
Hoyoung,Bae Hoyoung,1998-08-10,Verivery,South Korea
Hoya,Lee Howon,1991-03-28,,South Korea
Hoshi,Kwon Soonyoung,1996-06-15,Seventeen,South Korea
Hoony,Lee Seunghoon,1992-01-11,WINNER,South Korea
Hoon,Yeo Hoonmin,1991-08-16,U-KISS,South Korea
Hongseok,Yang Hongseok,1994-04-17,PENTAGON,South Korea
Hongseob,Shim Hongseob,1998-01-08,24K,South Korea
Hongjoong,Kim Hongjoong,1998-11-07,ATEEZ,South Korea
Hongil,Yoon Hongil,1999-01-11,Astin,South Korea
Honggi,Lee Honggi,1990-03-02,FTISLAND,South Korea
Hongbin,Lee Hongbin,1993-09-29,VIXX,South Korea
Hong,Kim Hong,2005-06-23,POW,South Korea
Hojung,Go Hojung,1994-10-20,HOTSHOT,South Korea
Hojoon,Jeon Hojoon,1992-10-31,Topp Dogg,South Korea
Hohyeon,Lee Hohyeon,2001-10-14,TRCNG,South Korea
Himchan,Kim Himchan,1990-04-19,B.A.P,South Korea
Hikaru,Urabe Hikaru,2003-07-14,FANTASY BOYS,Japan
Hikari,Etani Hikari,2002-01-21,FANTASY BOYS,Japan
HighTop,Lim Hyeontae,1994-03-19,Bigflo,South Korea
Heo Chan,Heo Chan,1995-12-14,,South Korea
Henry,Henry Lau,1989-10-11,Super Junior-M,Canada
Heesoo,Kim Heesoo,2004-05-12,The Wind,South Korea
Heeseung,Lee Heeseung,2001-10-15,ENHYPEN,South Korea
Heeseok,Yun Heeseok,1997-06-10,Limitless,South Korea
Heejun,Oh Heejun,1996-05-08,KNK,South Korea
Heeju,Chae Heeju,2003-04-04,CMDM,South Korea
Heedo,Yoon Heedo,1996-04-22,B.I.G,South Korea
Heechul,Kim Heechul,1983-07-10,Super Junior,South Korea
Heechul,Jung Heechul,1989-12-09,ZE:A,South Korea
Heechan,Yang Heechan,1999-07-31,DKB,South Korea
Hee,Shin Youngseo,2005-12-28,DXMON,South Korea
Hayuchan,Park Hayuchan,2007-08-21,The Wind,South Korea
Hayoung,Choi Hayoung,2000-08-22,TRCNG,South Korea
Havit,Lee Havit,1999-06-07,TRENDZ,South Korea
Haseung,Lee Taewoo,1999-07-16,WHIB,South Korea
Haruto,Watanabe Haruto,2004-04-05,Treasure,Japan
Harry-June,Han Harry-June,2004-01-01,DKB,South Korea
Harin,Ju Harin,1998-03-29,Onewe,South Korea
Hansol,Kim Hansol,1993-06-15,,South Korea
Hanse,Do Hanse,1997-09-25,VICTON,South Korea
Hankook,Cho Hankook,2002-04-03,TRENDZ,South Korea
Hanjin,Han Zhen,2006-01-05,TWS,China
Hangyul,Lee Hangyul,1999-12-07,BAE173,South Korea
Hangyeom,Song Hangyeom,1996-07-17,OMEGA X,South Korea
Haneul,Lee Haneul,1996-06-03,ARGON,South Korea
Hanbin,Ngo Ngoc Hung,1998-01-19,TEMPEST,Vietnam
Hanbin,Sung Hanbin,2001-06-13,ZEROBASEONE,South Korea
Hanbin,Choi Hanbin,2007-07-25,The Wind,South Korea
Hanbin,Park Hanbin,2002-03-01,EVNNE,South Korea
Hanbin,Lee Hanbin,2001-11-20,FANTASY BOYS,South Korea
Han Geng,Han Geng,1984-02-09,,China
Han,Han Jisung,2000-09-14,Stray Kids,South Korea
Hamin,Kim Kangmin,2001-11-13,BXB,South Korea
Hamin,Jo Hamin,1997-10-24,ENOi,South Korea
Hakmin,Lee Hakmin,2000-09-20,TRCNG,South Korea
Haemin,Jung Haemin,2004-03-16,8TURN,South Korea
Haechan,Lee Donghyuk,2000-06-06,NCT,South Korea
Gyuvin,Kim Gyuvin,2004-08-30,ZEROBASEONE,South Korea
Gyurae,Kim Gyurae,2009-02-28,FANTASY BOYS,South Korea
Gyumin,Kim Gyumin,2000-12-12,XODIAC,South Korea
Gyujin,Han Gyujin,1997-11-21,UP10TION,South Korea
Gyeongtae,Kwon Gyeongtae,2000-07-23,14U,South Korea
Gyehyeon,Jo Gyehyeon,1999-05-14,Verivery,South Korea
Gunwook,Park Gunwook,2005-10-01,ZEROBASEONE,South Korea
Gunwoo,Lee Gunwoo,1989-01-30,MYNAME,South Korea
Gunwoo,Kim Gunwoo,2002-05-28,T1419,South Korea
Gunmin,Lee Gunmin,1994-10-03,B.I.G,South Korea
Gunil,Go Gunil,1998-07-24,Xdinary Heroes,South Korea
Gun,Kwak Gun,2001-09-29,14U,South Korea
Gongchan,Gong Chansik,1993-08-14,B1A4,South Korea
Gon,Kim Seongjung,1998-11-13,ARGON,South Korea
Gon,Lee Wonseo,1995-08-07,VANNER,South Korea
Gohyeon,Go Hyeon,1994-10-01,14U,South Korea
Gohn,Kim Dongsung,1992-08-01,,South Korea
Go_U,Jang Junho,2001-06-15,BLITZERS,South Korea
GK,Kim Kwanghyun,1998-09-29,DKB,South Korea
Giseok,Jun Giseok,1997-05-02,IM,South Korea
Gikwang,Lee Gikwang,1990-03-30,Highlight,South Korea
Gijung,Kim Gijung,2001-01-24,IM,South Korea
Gihwan,Kim Gihwan,1993-11-24,SIGNAL,South Korea
Geonu,Lee Geonwoo,2001-02-02,JUST B,South Korea
Gaon,Kwak Jiseok,2002-01-14,Xdinary Heroes,South Korea
Gabin,Yoo Seunghyun,2001-09-11,JWiiver,South Korea
G.O,Jung Byunghee,1987-11-06,MBLAQ,South Korea
G-Dragon,Kwon Jiyong,1988-08-18,BIGBANG,South Korea
Felix,Lee Youngbok,2000-09-15,Stray Kids,South Korea
Eunwoo,Cha Eunwoo,1997-03-30,ASTRO,South Korea
Eunsung,Lee Eunsung,2000-09-07,TheEastLight,South Korea
Eunseop,Kim Eunseop,2006-06-18,LUN8,South Korea
Eunseok,Song Eunseok,2001-03-19,RIIZE,South Korea
Eunsang,Lee Eunsang,2002-10-26,YOUNITE,South Korea
Eunkwang,Seo Eunkwang,1990-11-22,BtoB,South Korea
Eunki,Hong Eunki,1997-09-29,,South Korea
Eunjun,Choi Eunjun,1999-08-06,AIMERS,South Korea
Eunjae,Kwak Eunjae,1996-05-02,14U,South Korea
Eunil,Kim Eunil,2003-11-21,TRENDZ,South Korea
Eunhyuk,Lee Hyukjae,1986-04-04,Super Junior,South Korea
Eunho,Shin Donggeun,1992-09-10,UNVS,South Korea
Eunho,Myung Eunho,2001-03-25,YOUNITE,South Korea
Eunchan,Choi Byeongseop,2001-02-27,TEMPEST,South Korea
Euijin,Lee Euijin,1990-02-15,Bigflo,South Korea
Eson,Kim Jungmin,1996-12-28,We In The Zone,South Korea
Eric,Son Youngjae,2000-12-22,The Boyz,South Korea
Eric,Moon Junghyuk,1979-02-16,Shinhwa,South Korea
Eli,Ellison Kim,1991-03-13,U-KISS,USA
Eden,Jae Won,1998-03-27,NINE.i,South Korea
